Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),win_size
ACC_1_TimeDomain_Stats_XYZ,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5975 ± 0.1173,0.6160 ± 0.0938,0.5403 ± 0.1629,0.4611 ± 0.1752,0.7708 ± 0.0615,0.6160 ± 0.0938,5.7049 ± 8.8552,10
ACC_2_PSD_Frequency_XYZ,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6921 ± 0.1543,0.7079 ± 0.1416,0.6757 ± 0.1577,0.6088 ± 0.2040,0.8070 ± 0.1411,0.7794 ± 0.1721,55.0433 ± 16.5304,10
ACC_2_PSD_Frequency_XYZ,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6881 ± 0.1217,0.7043 ± 0.1062,0.6600 ± 0.1197,0.5678 ± 0.1554,0.8408 ± 0.1092,0.7749 ± 0.1498,9.9215 ± 0.7349,10
ACC_2_PSD_Frequency_XYZ,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6947 ± 0.1377,0.7102 ± 0.1240,0.6725 ± 0.1352,0.5878 ± 0.1747,0.8326 ± 0.1342,0.7764 ± 0.1671,282.6440 ± 13.7584,10
ACC_2_PSD_Frequency_XYZ,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.4589 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,2.1986 ± 0.5222,10
ACC_2_PSD_Frequency_XYZ,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6310 ± 0.0932,0.6408 ± 0.0872,0.6220 ± 0.0796,0.5667 ± 0.1162,0.7149 ± 0.1147,0.6408 ± 0.0872,1.9088 ± 0.1580,10
ACC_3_Magnitude_TimeDomain,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6013 ± 0.0493,0.6164 ± 0.0293,0.5439 ± 0.0814,0.4540 ± 0.1216,0.7787 ± 0.0954,0.6442 ± 0.0481,26.0510 ± 4.9481,10
ACC_3_Magnitude_TimeDomain,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5985 ± 0.0388,0.6111 ± 0.0194,0.5495 ± 0.0762,0.4682 ± 0.1244,0.7541 ± 0.1065,0.6396 ± 0.0345,5.0890 ± 0.6714,10
ACC_3_Magnitude_TimeDomain,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6073 ± 0.0401,0.6203 ± 0.0214,0.5654 ± 0.0692,0.4865 ± 0.1187,0.7540 ± 0.1081,0.6517 ± 0.0315,131.5562 ± 6.4549,10
ACC_3_Magnitude_TimeDomain,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5009 ± 0.0786,0.5000 ± 0.0000,0.1508 ± 0.3372,0.2000 ± 0.4472,0.8000 ± 0.4472,0.5078 ± 0.0174,0.2918 ± 0.0225,10
ACC_3_Magnitude_TimeDomain,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5684 ± 0.0281,0.5758 ± 0.0242,0.5383 ± 0.0796,0.4780 ± 0.1073,0.6735 ± 0.0747,0.5757 ± 0.0242,0.7287 ± 0.0582,10
ACC_4_Magnitude_PSD,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6068 ± 0.1111,0.6136 ± 0.0912,0.5861 ± 0.1467,0.5435 ± 0.1916,0.6837 ± 0.0976,0.6711 ± 0.1011,38.0709 ± 6.8086,10
ACC_4_Magnitude_PSD,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5913 ± 0.0763,0.6036 ± 0.0582,0.5496 ± 0.1042,0.4753 ± 0.1276,0.7318 ± 0.0699,0.6500 ± 0.0718,4.4039 ± 0.5898,10
ACC_4_Magnitude_PSD,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5622 ± 0.0805,0.5787 ± 0.0597,0.5085 ± 0.1210,0.4370 ± 0.1408,0.7204 ± 0.0921,0.6111 ± 0.0924,100.4948 ± 4.8221,10
ACC_4_Magnitude_PSD,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.4589 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.4990 ± 0.0023,0.4422 ± 0.0677,10
ACC_4_Magnitude_PSD,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5810 ± 0.0655,0.5852 ± 0.0601,0.5850 ± 0.0745,0.5559 ± 0.1096,0.6144 ± 0.0992,0.5852 ± 0.0597,0.7259 ± 0.0344,10
ACC_5_Integrative_Magnitude,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6611 ± 0.0661,0.6721 ± 0.0428,0.6242 ± 0.0735,0.5308 ± 0.1192,0.8134 ± 0.1056,0.7407 ± 0.0791,43.1898 ± 14.1660,10
ACC_5_Integrative_Magnitude,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6373 ± 0.0690,0.6498 ± 0.0526,0.5939 ± 0.0965,0.5055 ± 0.1275,0.7940 ± 0.0915,0.7040 ± 0.0588,8.2937 ± 0.7015,10
ACC_5_Integrative_Magnitude,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6176 ± 0.0932,0.6347 ± 0.0663,0.5572 ± 0.1354,0.4668 ± 0.1608,0.8025 ± 0.1012,0.6924 ± 0.0690,228.6369 ± 32.5217,10
ACC_5_Integrative_Magnitude,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.4592 ± 0.0639,0.4953 ± 0.0104,0.0864 ± 0.1933,0.0759 ± 0.1698,0.9147 ± 0.1906,0.5027 ± 0.0060,2.3157 ± 3.0880,10
ACC_5_Integrative_Magnitude,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.5959 ± 0.0607,0.6050 ± 0.0433,0.5652 ± 0.0780,0.4974 ± 0.1145,0.7127 ± 0.0938,0.6050 ± 0.0433,1.2702 ± 0.0763,10
Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),30
6_All_Combined,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6137 ± 0.1069,0.6377 ± 0.0780,0.5086 ± 0.1579,0.3904 ± 0.1689,0.8851 ± 0.1036,0.6625 ± 0.0868,25.0705 ± 4.3710,30
6_All_Combined,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6328 ± 0.0850,0.6520 ± 0.0617,0.5725 ± 0.0857,0.4593 ± 0.1060,0.8447 ± 0.0921,0.6762 ± 0.0899,16.5273 ± 1.3627,30
6_All_Combined,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6168 ± 0.0946,0.6370 ± 0.0688,0.5323 ± 0.1263,0.4169 ± 0.1412,0.8571 ± 0.0942,0.6598 ± 0.0967,251.8782 ± 34.8687,30
