Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
HR_4_Contextual_Baseline,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4896 ± 0.0104,0.4941 ± 0.0101,0.4533 ± 0.0216,0.4117 ± 0.0388,0.5765 ± 0.0339,0.4966 ± 0.0092,0.1400 ± 0.0138
HR_5_HR_Zones,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5205 ± 0.0857,0.5270 ± 0.0830,0.4054 ± 0.1575,0.3351 ± 0.1643,0.7188 ± 0.0589,0.5461 ± 0.1331,1.9241 ± 0.1123
HR_5_HR_Zones,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4904 ± 0.0830,0.4971 ± 0.0843,0.4027 ± 0.1469,0.3482 ± 0.1586,0.6460 ± 0.0668,0.5043 ± 0.1373,0.9816 ± 0.1142
HR_5_HR_Zones,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5250 ± 0.0974,0.5314 ± 0.0946,0.4466 ± 0.1499,0.3898 ± 0.1715,0.6730 ± 0.0790,0.5648 ± 0.1250,11.9871 ± 5.9987
HR_5_HR_Zones,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4638 ± 0.0213,0.5005 ± 0.0012,0.2579 ± 0.3532,0.4000 ± 0.5477,0.6010 ± 0.5463,0.5000 ± 0.0000,0.5624 ± 0.8581
HR_5_HR_Zones,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5263 ± 0.1109,0.5319 ± 0.1118,0.4658 ± 0.1582,0.4145 ± 0.1737,0.6493 ± 0.0617,0.5322 ± 0.1074,0.1637 ± 0.0043
6_All_Combined,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4817 ± 0.0704,0.5062 ± 0.0454,0.2919 ± 0.1392,0.2215 ± 0.1154,0.7909 ± 0.1008,0.5597 ± 0.0857,42.2088 ± 12.3874
6_All_Combined,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4959 ± 0.1231,0.5144 ± 0.1073,0.3586 ± 0.2091,0.3015 ± 0.1945,0.7274 ± 0.1259,0.5553 ± 0.1638,7.0624 ± 1.1669
6_All_Combined,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4418 ± 0.1703,0.4591 ± 0.1441,0.3049 ± 0.2666,0.2866 ± 0.2604,0.6316 ± 0.2046,0.4909 ± 0.1961,247.7651 ± 33.0365
6_All_Combined,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4781 ± 0.0912,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,4.2585 ± 1.7686
6_All_Combined,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5068 ± 0.1044,0.5150 ± 0.0605,0.3639 ± 0.1527,0.2895 ± 0.1445,0.7404 ± 0.0969,0.5150 ± 0.0605,1.2587 ± 0.1014
HR_1_TimeDomain_Stats,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4740 ± 0.0470,0.4899 ± 0.0329,0.3200 ± 0.0728,0.2451 ± 0.0795,0.7348 ± 0.0534,0.5040 ± 0.0670,34.4522 ± 6.9059
HR_1_TimeDomain_Stats,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4888 ± 0.0766,0.4961 ± 0.0696,0.3971 ± 0.1251,0.3345 ± 0.1150,0.6578 ± 0.0624,0.4944 ± 0.1028,4.6390 ± 0.4889
HR_1_TimeDomain_Stats,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4834 ± 0.0532,0.4922 ± 0.0632,0.3987 ± 0.0799,0.3314 ± 0.0503,0.6530 ± 0.0866,0.4861 ± 0.1001,100.5822 ± 12.4207
HR_1_TimeDomain_Stats,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4781 ± 0.0912,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.8340 ± 0.1443
HR_1_TimeDomain_Stats,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4981 ± 0.0799,0.5076 ± 0.0824,0.4271 ± 0.1180,0.3721 ± 0.1330,0.6431 ± 0.0833,0.5104 ± 0.0838,4.6201 ± 8.9296
HR_2_HRV_Proxies,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4670 ± 0.1659,0.4785 ± 0.1339,0.3240 ± 0.2275,0.2915 ± 0.2560,0.6655 ± 0.2384,0.4915 ± 0.1270,10.2295 ± 1.6263
HR_2_HRV_Proxies,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4836 ± 0.1326,0.4885 ± 0.0831,0.3344 ± 0.1798,0.2712 ± 0.1677,0.7059 ± 0.1453,0.5583 ± 0.1487,1.6351 ± 0.2579
HR_2_HRV_Proxies,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4593 ± 0.1795,0.4736 ± 0.1462,0.3330 ± 0.2585,0.3304 ± 0.3298,0.6169 ± 0.2906,0.4892 ± 0.1632,25.6375 ± 2.8883
